,Celldensities,Function,Metavariables,Neighborhood
CD4 T cells memory_stromal_pNFkB,,"{'Statistic': 2385.0, 'p-value': 0.00023035072150912527}",,
CD4 T cells memory_stromal_GranzymeB,,"{'Statistic': 2397.0, 'p-value': 0.00026792734402068076}",,
CD4 T cells memory_stromal_Ki67,,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,
CD4 T cells memory_stromal_CD44,,"{'Statistic': 2154.0, 'p-value': 9.517070240637461e-06}",,
CD4 T cells memory_stromal_pERK,,"{'Statistic': 2250.0, 'p-value': 3.815429566426501e-05}",,
CD4 T cells memory_stromal_pMAPKAPK2,,"{'Statistic': 2469.0, 'p-value': 0.0006439990231080046}",,
CD4 T cells memory_stromal_pS6,,"{'Statistic': 2385.0, 'p-value': 0.00023035072150912527}",,
CD4 T cells memory_tumorfront_pp38,,"{'Statistic': 2223.0, 'p-value': 2.605906229620995e-05}",,
CD4 T cells memory_tumorfront_pSTAT1,,"{'Statistic': 2424.0, 'p-value': 0.0003744686623375395}",,
CD4 T cells memory_tumorfront_pSTAT3,,"{'Statistic': 2385.0, 'p-value': 0.00023034201877927734}",,
CD4 T cells memory_tumorfront_CD36,,"{'Statistic': 1998.0, 'p-value': 8.190294292271645e-07}",,
CD4 T cells memory_tumorfront_E-Cadherin,,"{'Statistic': 2127.0, 'p-value': 6.334382436788662e-06}",,
CD4 T cells memory_tumorfront_VEGF,,"{'Statistic': 2301.0, 'p-value': 7.686471631432523e-05}",,
CD4 T cells memory_tumorfront_pCREB,,"{'Statistic': 2541.0, 'p-value': 0.0014714150007641132}",,
CD4 T cells memory_tumorfront_pNFkB,,"{'Statistic': 2322.0, 'p-value': 0.00010179562078267044}",,
CD4 T cells memory_tumorfront_GranzymeB,,"{'Statistic': 2211.0, 'p-value': 2.194611199527528e-05}",,
CD4 T cells memory_tumorfront_Ki67,,"{'Statistic': 1809.0, 'p-value': 3.0234600592946294e-08}",,
CD4 T cells memory_tumorfront_CD44,,"{'Statistic': 2019.0, 'p-value': 1.1557420454989587e-06}",,
CD4 T cells memory_tumorfront_pERK,,"{'Statistic': 2391.0, 'p-value': 0.0002484689368909481}",,
CD4 T cells memory_tumorfront_pMAPKAPK2,,"{'Statistic': 2502.0, 'p-value': 0.0009464130858864687}",,
CD4 T cells memory_tumorfront_pS6,,"{'Statistic': 2475.0, 'p-value': 0.0006912340345276936}",,
CD4 T cells regulatory_stromal_pp38,,"{'Statistic': 2151.0, 'p-value': 9.079260601601253e-06}",,
CD4 T cells regulatory_stromal_pSTAT1,,"{'Statistic': 2241.0, 'p-value': 3.3579785257722174e-05}",,
CD4 T cells regulatory_stromal_pSTAT3,,"{'Statistic': 2211.0, 'p-value': 2.1886473794218235e-05}",,
CD4 T cells regulatory_stromal_CD36,,"{'Statistic': 2508.0, 'p-value': 0.0010132340957632563}",,
CD4 T cells regulatory_stromal_E-Cadherin,,"{'Statistic': 2319.0, 'p-value': 9.773216035213076e-05}",,
CD4 T cells regulatory_stromal_VEGF,,"{'Statistic': 2379.0, 'p-value': 0.00021330301595952488}",,
CD4 T cells regulatory_stromal_pCREB,,"{'Statistic': 2406.0, 'p-value': 0.00029957200249763064}",,
CD4 T cells regulatory_stromal_pNFkB,,"{'Statistic': 2100.0, 'p-value': 4.178316649374222e-06}",,
CD4 T cells regulatory_stromal_GranzymeB,,"{'Statistic': 2088.0, 'p-value': 3.4673061136061138e-06}",,
CD4 T cells regulatory_stromal_Ki67,,"{'Statistic': 1752.0, 'p-value': 1.0364859020285433e-08}",,
CD4 T cells regulatory_stromal_CD44,,"{'Statistic': 2025.0, 'p-value': 1.272521222677582e-06}",,
CD4 T cells regulatory_stromal_pERK,,"{'Statistic': 2094.0, 'p-value': 3.804215269714424e-06}",,
CD4 T cells regulatory_stromal_pMAPKAPK2,,"{'Statistic': 2475.0, 'p-value': 0.0006905684681389176}",,
CD4 T cells regulatory_stromal_pS6,,"{'Statistic': 2448.0, 'p-value': 0.0005009207500778075}",,
CD4 T cells regulatory_tumorfront_pp38,,"{'Statistic': 2340.0, 'p-value': 0.0001281272183557731}",,
CD4 T cells regulatory_tumorfront_pSTAT1,,"{'Statistic': 2145.0, 'p-value': 8.23563298299921e-06}",,
CD4 T cells regulatory_tumorfront_pSTAT3,,"{'Statistic': 2067.0, 'p-value': 2.4743770456378925e-06}",,
CD4 T cells regulatory_tumorfront_CD36,,"{'Statistic': 1959.0, 'p-value': 4.244940532032447e-07}",,
CD4 T cells regulatory_tumorfront_E-Cadherin,,"{'Statistic': 2049.0, 'p-value': 1.8642914611596675e-06}",,
CD4 T cells regulatory_tumorfront_VEGF,,"{'Statistic': 2385.0, 'p-value': 0.00022948380729496696}",,
CD4 T cells regulatory_tumorfront_pCREB,,"{'Statistic': 2391.0, 'p-value': 0.0002477285025032926}",,
CD4 T cells regulatory_tumorfront_pNFkB,,"{'Statistic': 2262.0, 'p-value': 4.48886798383638e-05}",,
CD4 T cells regulatory_tumorfront_GranzymeB,,"{'Statistic': 1791.0, 'p-value': 2.152540799892562e-08}",,
CD4 T cells regulatory_tumorfront_Ki67,,"{'Statistic': 1887.0, 'p-value': 1.2116660692423734e-07}",,
CD4 T cells regulatory_tumorfront_CD44,,"{'Statistic': 2019.0, 'p-value': 1.148374156383931e-06}",,
CD4 T cells regulatory_tumorfront_pERK,,"{'Statistic': 2319.0, 'p-value': 9.74674915622538e-05}",,
CD4 T cells regulatory_tumorfront_pMAPKAPK2,,"{'Statistic': 2313.0, 'p-value': 8.999122365245607e-05}",,
CD4 T cells regulatory_tumorfront_pS6,,"{'Statistic': 2526.0, 'p-value': 0.0012409582936178678}",,
B cells_stromal_pp38,,"{'Statistic': 2256.0, 'p-value': 4.14370746651062e-05}",,
B cells_stromal_pSTAT1,,"{'Statistic': 2430.0, 'p-value': 0.0004026496020554869}",,
B cells_stromal_pSTAT3,,"{'Statistic': 2322.0, 'p-value': 0.00010168603851981513}",,
B cells_stromal_CD36,,"{'Statistic': 2139.0, 'p-value': 7.58676652794347e-06}",,
B cells_stromal_E-Cadherin,,"{'Statistic': 2328.0, 'p-value': 0.00011009702703820418}",,
B cells_stromal_VEGF,,"{'Statistic': 2502.0, 'p-value': 0.0009456617380041041}",,
B cells_stromal_pCREB,,"{'Statistic': 2277.0, 'p-value': 5.5395301068011654e-05}",,
B cells_stromal_pNFkB,,"{'Statistic': 2424.0, 'p-value': 0.0003741374943047274}",,
B cells_stromal_GranzymeB,,"{'Statistic': 2088.0, 'p-value': 3.468120595351545e-06}",,
B cells_stromal_Ki67,,"{'Statistic': 2205.0, 'p-value': 2.0094191993302432e-05}",,
B cells_stromal_CD44,,"{'Statistic': 1734.0, 'p-value': 7.370992773843536e-09}",,
B cells_stromal_pERK,,"{'Statistic': 2412.0, 'p-value': 0.0003225800165421298}",,
B cells_stromal_pMAPKAPK2,,"{'Statistic': 2424.0, 'p-value': 0.0003741374943047274}",,
B cells_stromal_pS6,,"{'Statistic': 2682.0, 'p-value': 0.006412781850000228}",,
B cells_tumorfront_pp38,,"{'Statistic': 2256.0, 'p-value': 4.070123008260425e-05}",,
B cells_tumorfront_pSTAT1,,"{'Statistic': 2412.0, 'p-value': 0.0003177120819847431}",,
B cells_tumorfront_pSTAT3,,"{'Statistic': 1734.0, 'p-value': 6.969763889371599e-09}",,
B cells_tumorfront_CD36,,"{'Statistic': 2037.0, 'p-value': 1.50026708519725e-06}",,
B cells_tumorfront_E-Cadherin,,"{'Statistic': 1920.0, 'p-value': 2.121047797560642e-07}",,
B cells_tumorfront_VEGF,,"{'Statistic': 2004.0, 'p-value': 8.775361724357684e-07}",,
B cells_tumorfront_pCREB,,"{'Statistic': 2181.0, 'p-value': 1.38954230897614e-05}",,
B cells_tumorfront_pNFkB,,"{'Statistic': 2010.0, 'p-value': 9.685776642553866e-07}",,
B cells_tumorfront_GranzymeB,,"{'Statistic': 2019.0, 'p-value': 1.1254899017597394e-06}",,
B cells_tumorfront_Ki67,,"{'Statistic': 1722.0, 'p-value': 5.6098327162764675e-09}",,
B cells_tumorfront_CD44,,"{'Statistic': 1851.0, 'p-value': 6.263551614824871e-08}",,
B cells_tumorfront_pERK,,"{'Statistic': 2316.0, 'p-value': 9.20621097595614e-05}",,
B cells_tumorfront_pMAPKAPK2,,"{'Statistic': 2316.0, 'p-value': 9.236227871203581e-05}",,
B cells_tumorfront_pS6,,"{'Statistic': 2418.0, 'p-value': 0.000342745400980636}",,
CD8 T cells_intratumor_pp38,,"{'Statistic': 2559.0, 'p-value': 0.0017910709566302874}",,
CD8 T cells_intratumor_pSTAT1,,"{'Statistic': 2577.0, 'p-value': 0.0021768759056186985}",,
CD8 T cells_intratumor_pSTAT3,,"{'Statistic': 2598.0, 'p-value': 0.0027256069620352685}",,
CD8 T cells_intratumor_CD36,,"{'Statistic': 2286.0, 'p-value': 6.251245071114095e-05}",,
CD8 T cells_intratumor_E-Cadherin,,"{'Statistic': 2469.0, 'p-value': 0.0006423988172653014}",,
CD8 T cells_intratumor_VEGF,,"{'Statistic': 3069.0, 'p-value': 0.13930136304832313}",,
CD8 T cells_intratumor_pCREB,,"{'Statistic': 2637.0, 'p-value': 0.004087250513527609}",,
CD8 T cells_intratumor_pNFkB,,"{'Statistic': 1758.0, 'p-value': 1.1592340619662306e-08}",,
CD8 T cells_intratumor_GranzymeB,,"{'Statistic': 2532.0, 'p-value': 0.0013277536311879468}",,
CD8 T cells_intratumor_Ki67,,"{'Statistic': 1740.0, 'p-value': 8.224536968071365e-09}",,
CD8 T cells_intratumor_CD44,,"{'Statistic': 2496.0, 'p-value': 0.0008810453561280321}",,
CD8 T cells_intratumor_pERK,,"{'Statistic': 1785.0, 'p-value': 1.9255986192519617e-08}",,
CD8 T cells_intratumor_pMAPKAPK2,,"{'Statistic': 2145.0, 'p-value': 8.281899644533568e-06}",,
CD8 T cells_intratumor_pS6,,"{'Statistic': 2862.0, 'p-value': 0.03188469763778119}",,
CD8 T cells_stromal_pp38,,"{'Statistic': 2817.0, 'p-value': 0.021992521369081055}",,
CD8 T cells_stromal_pSTAT1,,"{'Statistic': 2745.0, 'p-value': 0.01164877399071123}",,
CD8 T cells_stromal_pSTAT3,,"{'Statistic': 2631.0, 'p-value': 0.0038509425227846055}",,
CD8 T cells_stromal_CD36,,"{'Statistic': 2373.0, 'p-value': 0.00019776367027517146}",,
CD8 T cells_stromal_E-Cadherin,,"{'Statistic': 2688.0, 'p-value': 0.006802425918278812}",,
CD8 T cells_stromal_VEGF,,"{'Statistic': 2367.0, 'p-value': 0.00018314453586782165}",,
CD8 T cells_stromal_pCREB,,"{'Statistic': 2400.0, 'p-value': 0.0002781812021814573}",,
CD8 T cells_stromal_pNFkB,,"{'Statistic': 2379.0, 'p-value': 0.0002134740200524086}",,
CD8 T cells_stromal_GranzymeB,,"{'Statistic': 2307.0, 'p-value': 8.332642738550215e-05}",,
CD8 T cells_stromal_Ki67,,"{'Statistic': 2154.0, 'p-value': 9.517070240637461e-06}",,
CD8 T cells_stromal_CD44,,"{'Statistic': 2115.0, 'p-value': 5.273762069031953e-06}",,
CD8 T cells_stromal_pERK,,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,
CD8 T cells_stromal_pMAPKAPK2,,"{'Statistic': 2559.0, 'p-value': 0.001794849873587726}",,
CD8 T cells_stromal_pS6,,"{'Statistic': 2520.0, 'p-value': 0.0011623551592896619}",,
CD8 T cells_tumorfront_pp38,,"{'Statistic': 2475.0, 'p-value': 0.0006912284396968527}",,
CD8 T cells_tumorfront_pSTAT1,,"{'Statistic': 2526.0, 'p-value': 0.0012438829480684492}",,
CD8 T cells_tumorfront_pSTAT3,,"{'Statistic': 2637.0, 'p-value': 0.004094584387076503}",,
CD8 T cells_tumorfront_CD36,,"{'Statistic': 2262.0, 'p-value': 4.509360958029947e-05}",,
CD8 T cells_tumorfront_E-Cadherin,,"{'Statistic': 2262.0, 'p-value': 4.509360958029947e-05}",,
CD8 T cells_tumorfront_VEGF,,"{'Statistic': 2727.0, 'p-value': 0.009861714482110042}",,
CD8 T cells_tumorfront_pCREB,,"{'Statistic': 2580.0, 'p-value': 0.0022540797548272263}",,
CD8 T cells_tumorfront_pNFkB,,"{'Statistic': 2379.0, 'p-value': 0.00021346994735808378}",,
CD8 T cells_tumorfront_GranzymeB,,"{'Statistic': 2694.0, 'p-value': 0.0072091406352047215}",,
CD8 T cells_tumorfront_Ki67,,"{'Statistic': 2082.0, 'p-value': 3.162358427717513e-06}",,
CD8 T cells_tumorfront_CD44,,"{'Statistic': 2367.0, 'p-value': 0.00018314097245991832}",,
CD8 T cells_tumorfront_pERK,,"{'Statistic': 2121.0, 'p-value': 5.780712438067349e-06}",,
CD8 T cells_tumorfront_pMAPKAPK2,,"{'Statistic': 2109.0, 'p-value': 4.809266203105598e-06}",,
CD8 T cells_tumorfront_pS6,,"{'Statistic': 2604.0, 'p-value': 0.00290926020994688}",,
Myeloid M1 macrophages_stromal_pp38,,"{'Statistic': 2172.0, 'p-value': 1.243397016496432e-05}",,
Myeloid M1 macrophages_stromal_pSTAT1,,"{'Statistic': 2112.0, 'p-value': 5.0364602480239225e-06}",,
Myeloid M1 macrophages_stromal_pSTAT3,,"{'Statistic': 2412.0, 'p-value': 0.00032298516729972884}",,
Myeloid M1 macrophages_stromal_CD36,,"{'Statistic': 2139.0, 'p-value': 7.597579744513872e-06}",,
Myeloid M1 macrophages_stromal_E-Cadherin,,"{'Statistic': 2127.0, 'p-value': 6.3344706184841446e-06}",,
Myeloid M1 macrophages_stromal_VEGF,,"{'Statistic': 1908.0, 'p-value': 1.7804150836953886e-07}",,
Myeloid M1 macrophages_stromal_pCREB,,"{'Statistic': 2574.0, 'p-value': 0.0021129723049541447}",,
Myeloid M1 macrophages_stromal_pNFkB,,"{'Statistic': 2547.0, 'p-value': 0.0015727270208410252}",,
Myeloid M1 macrophages_stromal_GranzymeB,,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,
Myeloid M1 macrophages_stromal_Ki67,,"{'Statistic': 2148.0, 'p-value': 8.699396434379394e-06}",,
Myeloid M1 macrophages_stromal_CD44,,"{'Statistic': 2064.0, 'p-value': 2.381689220035981e-06}",,
Myeloid M1 macrophages_stromal_pERK,,"{'Statistic': 2238.0, 'p-value': 3.223598740123875e-05}",,
Myeloid M1 macrophages_stromal_pMAPKAPK2,,"{'Statistic': 2514.0, 'p-value': 0.0010857743391784835}",,
Myeloid M1 macrophages_stromal_pS6,,"{'Statistic': 2592.0, 'p-value': 0.0025626174126608652}",,
Myeloid M1 macrophages_tumorfront_pp38,,"{'Statistic': 2475.0, 'p-value': 0.0006912396293896569}",,
Myeloid M1 macrophages_tumorfront_pSTAT1,,"{'Statistic': 2184.0, 'p-value': 1.483319536727482e-05}",,
Myeloid M1 macrophages_tumorfront_pSTAT3,,"{'Statistic': 2385.0, 'p-value': 0.00023035072150912527}",,
Myeloid M1 macrophages_tumorfront_CD36,,"{'Statistic': 2133.0, 'p-value': 6.938584500234378e-06}",,
Myeloid M1 macrophages_tumorfront_E-Cadherin,,"{'Statistic': 2199.0, 'p-value': 1.845608542069636e-05}",,
Myeloid M1 macrophages_tumorfront_VEGF,,"{'Statistic': 2262.0, 'p-value': 4.5094643809998835e-05}",,
Myeloid M1 macrophages_tumorfront_pCREB,,"{'Statistic': 2598.0, 'p-value': 0.002730935404519891}",,
Myeloid M1 macrophages_tumorfront_pNFkB,,"{'Statistic': 2367.0, 'p-value': 0.0001831427541574686}",,
Myeloid M1 macrophages_tumorfront_GranzymeB,,"{'Statistic': 2340.0, 'p-value': 0.00012906236726803333}",,
Myeloid M1 macrophages_tumorfront_Ki67,,"{'Statistic': 1986.0, 'p-value': 6.713970665395141e-07}",,
Myeloid M1 macrophages_tumorfront_CD44,,"{'Statistic': 2283.0, 'p-value': 6.020738470384485e-05}",,
Myeloid M1 macrophages_tumorfront_pERK,,"{'Statistic': 2115.0, 'p-value': 5.273762069031953e-06}",,
Myeloid M1 macrophages_tumorfront_pMAPKAPK2,,"{'Statistic': 2160.0, 'p-value': 1.0407859279843047e-05}",,
Myeloid M1 macrophages_tumorfront_pS6,,"{'Statistic': 2670.0, 'p-value': 0.005702881619602899}",,
Myeloid M2 macrophages_stromal_pp38,,"{'Statistic': 2631.0, 'p-value': 0.0038509425227846055}",,
Myeloid M2 macrophages_stromal_pSTAT1,,"{'Statistic': 2424.0, 'p-value': 0.0003744819134057841}",,
Myeloid M2 macrophages_stromal_pSTAT3,,"{'Statistic': 2424.0, 'p-value': 0.0003744819134057841}",,
Myeloid M2 macrophages_stromal_CD36,,"{'Statistic': 2379.0, 'p-value': 0.0002134740200524086}",,
Myeloid M2 macrophages_stromal_E-Cadherin,,"{'Statistic': 2199.0, 'p-value': 1.845608542069636e-05}",,
Myeloid M2 macrophages_stromal_VEGF,,"{'Statistic': 2553.0, 'p-value': 0.0016804151819066217}",,
Myeloid M2 macrophages_stromal_pCREB,,"{'Statistic': 2439.0, 'p-value': 0.0004496485368742931}",,
Myeloid M2 macrophages_stromal_pNFkB,,"{'Statistic': 2553.0, 'p-value': 0.0016804151819066217}",,
Myeloid M2 macrophages_stromal_GranzymeB,,"{'Statistic': 2457.0, 'p-value': 0.0005583925466923642}",,
Myeloid M2 macrophages_stromal_Ki67,,"{'Statistic': 2385.0, 'p-value': 0.00023034854580413188}",,
Myeloid M2 macrophages_stromal_CD44,,"{'Statistic': 2082.0, 'p-value': 3.1624519935247136e-06}",,
Myeloid M2 macrophages_stromal_pERK,,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,
Myeloid M2 macrophages_stromal_pMAPKAPK2,,"{'Statistic': 2418.0, 'p-value': 0.00034784473534586535}",,
Myeloid M2 macrophages_stromal_pS6,,"{'Statistic': 2508.0, 'p-value': 0.0010138834030914124}",,
Myeloid M2 macrophages_tumorfront_pp38,,"{'Statistic': 2637.0, 'p-value': 0.004094390014420106}",,
Myeloid M2 macrophages_tumorfront_pSTAT1,,"{'Statistic': 2190.0, 'p-value': 1.619041982211534e-05}",,
Myeloid M2 macrophages_tumorfront_pSTAT3,,"{'Statistic': 2418.0, 'p-value': 0.00034778256428527073}",,
Myeloid M2 macrophages_tumorfront_CD36,,"{'Statistic': 2187.0, 'p-value': 1.549784539534039e-05}",,
Myeloid M2 macrophages_tumorfront_E-Cadherin,,"{'Statistic': 2193.0, 'p-value': 1.6913727003522435e-05}",,
Myeloid M2 macrophages_tumorfront_VEGF,,"{'Statistic': 2121.0, 'p-value': 5.780550165835765e-06}",,
Myeloid M2 macrophages_tumorfront_pCREB,,"{'Statistic': 2361.0, 'p-value': 0.00016953924908003423}",,
Myeloid M2 macrophages_tumorfront_pNFkB,,"{'Statistic': 2025.0, 'p-value': 1.2741449243239142e-06}",,
Myeloid M2 macrophages_tumorfront_GranzymeB,,"{'Statistic': 1914.0, 'p-value': 1.9759538614187732e-07}",,
Myeloid M2 macrophages_tumorfront_Ki67,,"{'Statistic': 1902.0, 'p-value': 1.6029324766086605e-07}",,
Myeloid M2 macrophages_tumorfront_CD44,,"{'Statistic': 2025.0, 'p-value': 1.2741449243239142e-06}",,
Myeloid M2 macrophages_tumorfront_pERK,,"{'Statistic': 2187.0, 'p-value': 1.549784539534039e-05}",,
Myeloid M2 macrophages_tumorfront_pMAPKAPK2,,"{'Statistic': 2244.0, 'p-value': 3.507513801153152e-05}",,
Myeloid M2 macrophages_tumorfront_pS6,,"{'Statistic': 2436.0, 'p-value': 0.00043355713127762765}",,
Myeloid Granulocytes_stromal_pp38,,"{'Statistic': 2313.0, 'p-value': 9.024458923056085e-05}",,
Myeloid Granulocytes_stromal_pSTAT1,,"{'Statistic': 2475.0, 'p-value': 0.0006907697694664771}",,
Myeloid Granulocytes_stromal_pSTAT3,,"{'Statistic': 2352.0, 'p-value': 0.00015086439661942059}",,
Myeloid Granulocytes_stromal_CD36,,"{'Statistic': 2295.0, 'p-value': 7.087263043647258e-05}",,
Myeloid Granulocytes_stromal_E-Cadherin,,"{'Statistic': 2280.0, 'p-value': 5.777460435874109e-05}",,
Myeloid Granulocytes_stromal_VEGF,,"{'Statistic': 2268.0, 'p-value': 4.8987388777339746e-05}",,
Myeloid Granulocytes_stromal_pCREB,,"{'Statistic': 2547.0, 'p-value': 0.0015726155036456608}",,
Myeloid Granulocytes_stromal_pNFkB,,"{'Statistic': 2211.0, 'p-value': 2.1936886769700698e-05}",,
Myeloid Granulocytes_stromal_GranzymeB,,"{'Statistic': 2415.0, 'p-value': 0.0003351707796710976}",,
Myeloid Granulocytes_stromal_Ki67,,"{'Statistic': 2022.0, 'p-value': 1.2131957945191114e-06}",,
Myeloid Granulocytes_stromal_CD44,,"{'Statistic': 1980.0, 'p-value': 6.073424105405714e-07}",,
Myeloid Granulocytes_stromal_pERK,,"{'Statistic': 1941.0, 'p-value': 3.1446753935824083e-07}",,
Myeloid Granulocytes_stromal_pMAPKAPK2,,"{'Statistic': 2160.0, 'p-value': 1.0406475256513182e-05}",,
Myeloid Granulocytes_stromal_pS6,,"{'Statistic': 2448.0, 'p-value': 0.0005012355199194351}",,
Myeloid Granulocytes_tumorfront_pp38,,"{'Statistic': 2037.0, 'p-value': 1.5417218991648503e-06}",,
Myeloid Granulocytes_tumorfront_pSTAT1,,"{'Statistic': 1848.0, 'p-value': 6.106847499643482e-08}",,
Myeloid Granulocytes_tumorfront_pSTAT3,,"{'Statistic': 1887.0, 'p-value': 1.227260249487981e-07}",,
Myeloid Granulocytes_tumorfront_CD36,,"{'Statistic': 2127.0, 'p-value': 6.314742921547464e-06}",,
Myeloid Granulocytes_tumorfront_E-Cadherin,,"{'Statistic': 1998.0, 'p-value': 8.160213884739338e-07}",,
Myeloid Granulocytes_tumorfront_VEGF,,"{'Statistic': 2094.0, 'p-value': 3.8011689360648794e-06}",,
Myeloid Granulocytes_tumorfront_pCREB,,"{'Statistic': 2469.0, 'p-value': 0.0006428196575524723}",,
Myeloid Granulocytes_tumorfront_pNFkB,,"{'Statistic': 2328.0, 'p-value': 0.00010996022067938409}",,
Myeloid Granulocytes_tumorfront_GranzymeB,,"{'Statistic': 2256.0, 'p-value': 4.1379553003176134e-05}",,
Myeloid Granulocytes_tumorfront_Ki67,,"{'Statistic': 1746.0, 'p-value': 9.216634582340013e-09}",,
Myeloid Granulocytes_tumorfront_CD44,,"{'Statistic': 1779.0, 'p-value': 1.724286350745444e-08}",,
Myeloid Granulocytes_tumorfront_pERK,,"{'Statistic': 1785.0, 'p-value': 1.9261716589025388e-08}",,
Myeloid Granulocytes_tumorfront_pMAPKAPK2,,"{'Statistic': 2256.0, 'p-value': 4.1379553003176134e-05}",,
Myeloid Granulocytes_tumorfront_pS6,,"{'Statistic': 2364.0, 'p-value': 0.00017583632569633827}",,
Myeloid DCs_stromal_pp38,,"{'Statistic': 2178.0, 'p-value': 1.3532847989139911e-05}",,
Myeloid DCs_stromal_pSTAT1,,"{'Statistic': 2043.0, 'p-value': 1.6942537403229482e-06}",,
Myeloid DCs_stromal_pSTAT3,,"{'Statistic': 1818.0, 'p-value': 3.55086486525832e-08}",,
