,Celldensities,Function,Metavariables,Neighborhood
CD8 T cells_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1398.0, 'p-value': 6.472528622472156e-12}"
CD8 T cells_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1908.0, 'p-value': 1.7785789796437287e-07}"
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1926.0, 'p-value': 2.427760864365871e-07}"
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2160.0, 'p-value': 1.0384489246999409e-05}"
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1134.0, 'p-value': 1.124447594107907e-14}"
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1857.0, 'p-value': 7.033472900830028e-08}"
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1560.0, 'p-value': 2.2318036208395574e-10}"
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2289.0, 'p-value': 6.533360140419728e-05}"
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1947.0, 'p-value': 3.439756384111202e-07}"
CD8 T cells_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2010.0, 'p-value': 9.973566184647483e-07}"
CD8 T cells_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1650.0, 'p-value': 1.4169639879756765e-09}"
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1896.0, 'p-value': 1.4145637681593223e-07}"
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2004.0, 'p-value': 8.999279373460472e-07}"
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1386.0, 'p-value': 4.563466372179328e-12}"
CD8 T cells_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1206.0, 'p-value': 6.254153180681465e-14}"
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1836.0, 'p-value': 4.944315629412315e-08}"
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1578.0, 'p-value': 3.251058268527404e-10}"
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2166.0, 'p-value': 1.1274342392155981e-05}"
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1386.0, 'p-value': 4.4422854717742055e-12}"
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1779.0, 'p-value': 1.6559417801717e-08}"
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1767.0, 'p-value': 1.3424043111398564e-08}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 966.0, 'p-value': 1.2420852940539771e-16}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2082.0, 'p-value': 3.162358427717513e-06}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2109.0, 'p-value': 4.809266203105598e-06}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1935.0, 'p-value': 2.827032558267871e-07}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2187.0, 'p-value': 1.547920682700429e-05}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1398.0, 'p-value': 6.100711661368917e-12}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1263.0, 'p-value': 2.7795683163200623e-13}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1836.0, 'p-value': 4.9454061889769164e-08}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1662.0, 'p-value': 1.800277281431508e-09}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2319.0, 'p-value': 9.779584398790893e-05}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1380.0, 'p-value': 4.322963599350785e-12}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1746.0, 'p-value': 9.004864465818153e-09}"
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1701.0, 'p-value': 3.883324449973042e-09}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2049.0, 'p-value': 1.8757388598878285e-06}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1548.0, 'p-value': 1.6912987854805522e-10}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2313.0, 'p-value': 9.029053977694491e-05}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2121.0, 'p-value': 5.776089138514866e-06}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1734.0, 'p-value': 7.19484029211014e-09}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1767.0, 'p-value': 1.3763126013463244e-08}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1398.0, 'p-value': 5.479077890850054e-12}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1224.0, 'p-value': 8.983550938007585e-14}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1482.0, 'p-value': 4.2376327463652976e-11}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 2055.0, 'p-value': 2.0466459534826938e-06}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2094.0, 'p-value': 3.788175415744325e-06}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1359.0, 'p-value': 2.5537959840167776e-12}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1728.0, 'p-value': 6.2044126047604704e-09}"
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1857.0, 'p-value': 7.190493022018749e-08}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 864.0, 'p-value': 7.198171431393528e-18}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2268.0, 'p-value': 4.899629699646357e-05}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2088.0, 'p-value': 3.473265656647809e-06}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 2115.0, 'p-value': 5.260417344765528e-06}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2409.0, 'p-value': 0.0003108398896449708}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1398.0, 'p-value': 6.054537041956211e-12}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1308.0, 'p-value': 8.046790840594648e-13}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1791.0, 'p-value': 2.1504057889934438e-08}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1791.0, 'p-value': 2.1644764834584915e-08}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2391.0, 'p-value': 0.00024740637136854034}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1263.0, 'p-value': 2.6935017552463674e-13}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1908.0, 'p-value': 1.6965524858935988e-07}"
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1941.0, 'p-value': 3.119707021129725e-07}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 1770.0, 'p-value': 1.4614720266561195e-08}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1611.0, 'p-value': 6.188060966353744e-10}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2772.0, 'p-value': 0.014864734525442846}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1701.0, 'p-value': 3.8923777328607704e-09}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 2430.0, 'p-value': 0.0004003970985354785}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1908.0, 'p-value': 1.7534001408191447e-07}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1542.0, 'p-value': 1.2584062803345036e-10}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 999.0, 'p-value': 2.4197375031422024e-16}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1662.0, 'p-value': 1.7899054900373942e-09}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1785.0, 'p-value': 1.918897015781337e-08}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 1938.0, 'p-value': 2.917956121316081e-07}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1761.0, 'p-value': 1.1554021712722173e-08}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1941.0, 'p-value': 2.902670298139999e-07}"
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 2064.0, 'p-value': 2.34675941995775e-06}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 477.0, 'p-value': 3.8841989849048115e-23}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2397.0, 'p-value': 0.0002677215047293418}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1779.0, 'p-value': 1.7260576618617264e-08}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1902.0, 'p-value': 1.5630021835011047e-07}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2022.0, 'p-value': 1.2023278422101068e-06}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1470.0, 'p-value': 2.8238631762870663e-11}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1515.0, 'p-value': 7.790524142514155e-11}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1824.0, 'p-value': 3.910314935753663e-08}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1863.0, 'p-value': 7.943406087577427e-08}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2160.0, 'p-value': 1.0128038161286353e-05}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1695.0, 'p-value': 3.3038224675790304e-09}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1578.0, 'p-value': 3.0277605631193835e-10}"
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1572.0, 'p-value': 2.815626854703729e-10}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 1527.0, 'p-value': 1.0931772548082803e-10}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1353.0, 'p-value': 2.05802715216637e-12}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 1947.0, 'p-value': 3.448001692446234e-07}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1509.0, 'p-value': 7.136222767394619e-11}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1527.0, 'p-value': 9.759448678945209e-11}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1521.0, 'p-value': 9.289753181916178e-11}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1038.0, 'p-value': 6.077682630248165e-16}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 780.0, 'p-value': 3.9220762129866435e-19}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 966.0, 'p-value': 1.253018946838931e-16}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1908.0, 'p-value': 1.725780421598458e-07}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 1869.0, 'p-value': 8.388763311388911e-08}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1728.0, 'p-value': 6.009590368868092e-09}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1593.0, 'p-value': 3.8610934239401856e-10}"
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1761.0, 'p-value': 1.1689325933737801e-08}"
Myeloid DCs_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 612.0, 'p-value': 2.6103694308387664e-21}"
Myeloid DCs_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2184.0, 'p-value': 1.4745499114688432e-05}"
Myeloid DCs_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1533.0, 'p-value': 1.2235952169743284e-10}"
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1689.0, 'p-value': 2.9331859165473906e-09}"
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1959.0, 'p-value': 4.206462462598957e-07}"
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1083.0, 'p-value': 2.3760843867676256e-15}"
Myeloid DCs_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1431.0, 'p-value': 1.2142989266537371e-11}"
Myeloid DCs_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1758.0, 'p-value': 1.1324991496912e-08}"
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1941.0, 'p-value': 3.070441971820107e-07}"
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 1914.0, 'p-value': 1.8834615264638324e-07}"
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1566.0, 'p-value': 2.3563337813269147e-10}"
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1695.0, 'p-value': 3.1046468798808275e-09}"
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1476.0, 'p-value': 3.513628406019252e-11}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 1797.0, 'p-value': 2.344557439864364e-08}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1077.0, 'p-value': 1.8936842307903365e-15}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2166.0, 'p-value': 1.1111613922751463e-05}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1722.0, 'p-value': 5.388739039483742e-09}"
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1548.0, 'p-value': 1.4791241356268496e-10}"
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1752.0, 'p-value': 9.673844122606248e-09}"
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1089.0, 'p-value': 2.3016558010634823e-15}"
Myeloid DCs_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 942.0, 'p-value': 4.2547585079439593e-17}"
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1290.0, 'p-value': 4.926430987201543e-13}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1689.0, 'p-value': 2.879050387912322e-09}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2016.0, 'p-value': 1.0302872688012435e-06}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1554.0, 'p-value': 1.7058433523082144e-10}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 2013.0, 'p-value': 9.719675304812563e-07}"
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1779.0, 'p-value': 1.622147597641163e-08}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 741.0, 'p-value': 1.6751280483289172e-19}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 1998.0, 'p-value': 8.189753910008776e-07}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2271.0, 'p-value': 5.1062812578745196e-05}"
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1965.0, 'p-value': 4.669480947174254e-07}"
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2283.0, 'p-value': 6.006706890894925e-05}"
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1644.0, 'p-value': 1.122862842113925e-09}"
Myeloid Monocytes_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1584.0, 'p-value': 3.5308400702025815e-10}"
Myeloid Monocytes_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1842.0, 'p-value': 5.495541557465576e-08}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1965.0, 'p-value': 4.7122629492894005e-07}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2139.0, 'p-value': 7.584376833885343e-06}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1701.0, 'p-value': 3.808635175428654e-09}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1701.0, 'p-value': 3.7162235777281464e-09}"
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1836.0, 'p-value': 4.870941058964004e-08}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2205.0, 'p-value': 2.012153676126417e-05}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1701.0, 'p-value': 3.776489130671389e-09}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2346.0, 'p-value': 0.00013951151897492284}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1644.0, 'p-value': 1.2551669486973402e-09}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1605.0, 'p-value': 5.214055990248902e-10}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1797.0, 'p-value': 2.3734189811600394e-08}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1341.0, 'p-value': 1.4289402211640288e-12}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 831.0, 'p-value': 2.3292126084492234e-18}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1527.0, 'p-value': 1.0932077288849582e-10}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1707.0, 'p-value': 4.341245679698651e-09}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 1986.0, 'p-value': 6.58373335337249e-07}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1341.0, 'p-value': 1.638333761622156e-12}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1728.0, 'p-value': 6.137506531586469e-09}"
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 2109.0, 'p-value': 4.693779247178312e-06}"
