,Statistic,p-value ttest,p-value mannwhitneyu
M2.macrophages_tumorfront_cellfrequency,967,4.85E-05,0.000108783
CD4.T.cells.regulatory_stromal_cellfrequency,953,0.00044341,0.00020774
Tumor.non.proliferating_intratumor_cellfrequency,309,0.000166651,0.000227717
CD4.T.cells.regulatory_tumorfront_cellfrequency,924,0.000886582,0.000720089
CD8.T.cells.naive_intratumor_cellfrequency,900.5,0.019693917,0.000869194
M1.macrophages_tumorfront_cellfrequency,915,0.001668509,0.001067666
CD8.T.cells.naive_stromal_cellfrequency,906,0.001288031,0.001515268
Fibroblasts_tumorfront_cellfrequency,355,0.000841784,0.001593741
Tumor.proliferating_tumorfront_cellfrequency,896,0.002925434,0.002261585
CD8.T.cells.memory_tumorfront_cellfrequency,893,0.007225073,0.002531562
Tumor.non.proliferating_tumorfront_cellfrequency,379,0.005684502,0.003963858
Tumor.proliferating_stromal_cellfrequency,422,0.125198097,0.004622311
Monocytes_stromal_cellfrequency,847,0.09104747,0.00558997
CD4.T.cells.memory_intratumor_cellfrequency,782,0.87647213,0.005657938
M2.macrophages_stromal_cellfrequency,870,0.005547579,0.005869686
CD4.T.cells.naive_tumorfront_cellfrequency,866.5,0.092752175,0.006436556
CD8.T.cells.naive_tumorfront_cellfrequency,863,0.011455867,0.007158492
CD4.T.cells.memory_tumorfront_cellfrequency,856,0.196263255,0.009500554
CD8.T.cells.memory_stromal_cellfrequency,846,0.023784071,0.013167263
CD4.T.cells.naive_stromal_cellfrequency,841.5,0.026877793,0.015227025
CD4.T.cells.regulatory_intratumor_cellfrequency,751,0.033246572,0.016508974
Monocytes_intratumor_cellfrequency,816.5,0.542874592,0.018248321
Bcells_intratumor_cellfrequency,733,0.125847229,0.031772344
M1.macrophages_stromal_cellfrequency,816.5,0.028238344,0.032404695
Tumor.non.proliferating_stromal_cellfrequency,446,0.037629408,0.033583438
Bcells_tumorfront_cellfrequency,810.5,0.541042376,0.035585201
Bcells_stromal_cellfrequency,810,0.629991173,0.038615171
CD4.T.cells.memory_stromal_cellfrequency,804,0.080729804,0.045993135
Granulocytes_tumorfront_cellfrequency,788,0.202452452,0.068761017
CD8.T.cells.memory_intratumor_cellfrequency,781,0.14274615,0.079481198
Fibroblasts_stromal_cellfrequency,503,0.106484393,0.145700209
Monocytes_tumorfront_cellfrequency,752,0.026256663,0.147751009
DCs_stromal_cellfrequency,751,0.189624613,0.153987271
M2.macrophages_intratumor_cellfrequency,751,0.225206279,0.16558428
Granulocytes_intratumor_cellfrequency,733,0.572069529,0.226709353
Fibroblasts_intratumor_cellfrequency,578,0.441473433,0.252216564
DCs_tumorfront_cellfrequency,726,0.249341715,0.271567035
Tumor.proliferating_intratumor_cellfrequency,705,0.229600196,0.391061062
M1.macrophages_intratumor_cellfrequency,700,0.193996836,0.423634725
DCs_intratumor_cellfrequency,582,0.179522996,0.57833758
CD4.T.cells.naive_intratumor_cellfrequency,647,0.557238959,0.586145045
Vessel_intratumor_cellfrequency,594.5,0.057081741,0.656906851
Granulocytes_stromal_cellfrequency,650.5,0.741698426,0.817389122
Vessel_tumorfront_cellfrequency,625,0.919931012,0.958723978
Vessel_stromal_cellfrequency,630,0.9396469,1